amenity_id,amenity_name,park_code,park_name,park_states,park_designation,park_url
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,miss,Mississippi National River & Recreation Area,MN,National River & Recreation Area,http://www.nps.gov/miss/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,mopi,Mormon Pioneer National Historic Trail,"IL,IA,NE,UT,WY",National Historic Trail,http://www.nps.gov/mopi/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,mora,Mount Rainier National Park,WA,National Park,http://www.nps.gov/mora/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,nama,National Mall and Memorial Parks ,DC,,http://www.nps.gov/nama/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,natc,Natchez National Historical Park,MS,National Historical Park,http://www.nps.gov/natc/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,natr,Natchez Trace Parkway,"AL,MS,TN",Parkway,http://www.nps.gov/natr/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,nebe,New Bedford Whaling National Historical Park,MA,National Historical Park,http://www.nps.gov/nebe/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,niob,Niobrara National Scenic River,NE,National Scenic River,http://www.nps.gov/niob/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,olsp,Old Spanish National Historic Trail,"AZ,CA,CO,NV,NM,UT",National Historic Trail,http://www.nps.gov/olsp/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,oreg,Oregon National Historic Trail,"ID,KS,MO,NE,OR,WA,WY",National Historic Trail,http://www.nps.gov/oreg/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,pais,Padre Island National Seashore,TX,National Seashore,http://www.nps.gov/pais/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,pefo,Petrified Forest National Park,AZ,National Park,http://www.nps.gov/pefo/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,peri,Pea Ridge National Military Park,AR,National Military Park,http://www.nps.gov/peri/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,poex,Pony Express National Historic Trail,"CA,CO,KS,MO,NE,NV,UT,WY",National Historic Trail,http://www.nps.gov/poex/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,pohe,Potomac Heritage National Scenic Trail,"DC,MD,PA,VA",National Scenic Trail,http://www.nps.gov/pohe/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,pull,Pullman National Historical Park,IL,National Historical Park,http://www.nps.gov/pull/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,rira,River Raisin National Battlefield Park,MI,National Battlefield Park,http://www.nps.gov/rira/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,saan,San Antonio Missions National Historical Park,TX,National Historical Park,http://www.nps.gov/saan/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,safe,Santa Fe National Historic Trail,"CO,KS,MO,NM,OK",National Historic Trail,http://www.nps.gov/safe/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,sahi,Sagamore Hill National Historic Site,NY,National Historic Site,http://www.nps.gov/sahi/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,sajh,San Juan Island National Historical Park,WA,National Historical Park,http://www.nps.gov/sajh/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,samo,Santa Monica Mountains National Recreation Area,CA,National Recreation Area,http://www.nps.gov/samo/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,sand,Sand Creek Massacre National Historic Site,CO,National Historic Site,http://www.nps.gov/sand/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,seki,Sequoia & Kings Canyon National Parks,CA,National Parks,http://www.nps.gov/seki/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,shen,Shenandoah National Park,VA,National Park,http://www.nps.gov/shen/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,shil,Shiloh National Military Park,"TN,MS",National Military Park,http://www.nps.gov/shil/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,sitk,Sitka National Historical Park,AK,National Historical Park,http://www.nps.gov/sitk/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,slbe,Sleeping Bear Dunes National Lakeshore,MI,National Lakeshore,http://www.nps.gov/slbe/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,spar,Springfield Armory National Historic Site,MA,National Historic Site,http://www.nps.gov/spar/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,stge,Ste. Geneviève National Historical Park,MO,National Historical Park,
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,stsp,Star-Spangled Banner National Historic Trail,"MD,VA,DC",National Historic Trail,http://www.nps.gov/stsp/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,tapr,Tallgrass Prairie National Preserve,KS,National Preserve,http://www.nps.gov/tapr/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,timu,Timucuan Ecological & Historic Preserve,FL,Ecological & Historic Preserve,http://www.nps.gov/timu/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,trte,Trail Of Tears National Historic Trail,"AL,AR,GA,IL,KY,MO,NC,OK,TN",National Historic Trail,http://www.nps.gov/trte/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,tuma,Tumacácori National Historical Park,AZ,National Historical Park,http://www.nps.gov/tuma/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,tupe,Tupelo National Battlefield,MS,National Battlefield,http://www.nps.gov/tupe/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,ulsg,Ulysses S Grant National Historic Site,MO,National Historic Site,http://www.nps.gov/ulsg/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,vafo,Valley Forge National Historical Park,PA,National Historical Park,http://www.nps.gov/vafo/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,vick,Vicksburg National Military Park,"MS,LA",National Military Park,http://www.nps.gov/vick/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,wefa,Weir Farm National Historical Park,CT,National Historical Park,http://www.nps.gov/wefa/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,wicl,President William Jefferson Clinton Birthplace Home National Historic Site,AR,National Historic Site,http://www.nps.gov/wicl/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,wiho,William Howard Taft National Historic Site,OH,National Historic Site,http://www.nps.gov/wiho/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,yell,Yellowstone National Park,"ID,MT,WY",National Park,http://www.nps.gov/yell/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,yose,Yosemite National Park,CA,National Park,http://www.nps.gov/yose/
4E4D076A-6866-46C8-A28B-A129E2B8F3DB,Accessible Rooms,zion,Zion National Park,UT,National Park,http://www.nps.gov/zion/
04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,abli,Abraham Lincoln Birthplace National Historical Park,KY,National Historical Park,http://www.nps.gov/abli/
04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,alca,Alcatraz Island ,CA,,http://www.nps.gov/alca/
04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,apis,Apostle Islands National Lakeshore,WI,National Lakeshore,http://www.nps.gov/apis/
04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,asis,Assateague Island National Seashore,"MD,VA",National Seashore,http://www.nps.gov/asis/
04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,badl,Badlands National Park,SD,National Park,http://www.nps.gov/badl/
04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,band,Bandelier National Monument,NM,National Monument,http://www.nps.gov/band/
04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,beol,Bent's Old Fort National Historic Site,CO,National Historic Site,http://www.nps.gov/beol/
04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,bica,Bighorn Canyon National Recreation Area,"MT,WY",National Recreation Area,http://www.nps.gov/bica/
04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,bicr,Birmingham Civil Rights National Monument,AL,National Monument,http://www.nps.gov/bicr/
04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,bicy,Big Cypress National Preserve,FL,National Preserve,http://www.nps.gov/bicy/
04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,biho,Big Hole National Battlefield,MT,National Battlefield,http://www.nps.gov/biho/
04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,blca,Black Canyon Of The Gunnison National Park,CO,National Park,http://www.nps.gov/blca/
04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,blri,Blue Ridge Parkway,"NC,VA",Parkway,http://www.nps.gov/blri/
04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,blrv,Blackstone River Valley National Historical Park,"RI,MA",National Historical Park,http://www.nps.gov/blrv/
04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,boha,Boston Harbor Islands National Recreation Area,MA,National Recreation Area,http://www.nps.gov/boha/
04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,bost,Boston National Historical Park,MA,National Historical Park,http://www.nps.gov/bost/
04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,brvb,Brown v. Board of Education National Historical Park,KS,National Historical Park,http://www.nps.gov/brvb/
04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,cabr,Cabrillo National Monument,CA,National Monument,http://www.nps.gov/cabr/
04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,caco,Cape Cod National Seashore,MA,National Seashore,http://www.nps.gov/caco/
04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,cagr,Casa Grande Ruins National Monument,AZ,National Monument,http://www.nps.gov/cagr/
04D29064-B9A1-4031-AD0E-98E31EF69604,Accessible Sites,cajo,Captain John Smith Chesapeake National Historic Trail,"VA,MD,DE,DC,PA,NY",National Historic Trail,http://www.nps.gov/cajo/
