park_id,park_url,park_name,park_code,park_latitude,park_longitude,park_designation
0103833B-8114-4483-9754-11B5171BCB20,https://www.nps.gov/knri/index.htm,Knife River Indian Villages National Historic Site,knri,47.3540219,-101.3860533,National Historic Site
691831BF-F280-4E02-BF4A-FF476BC66B23,https://www.nps.gov/kova/index.htm,Kobuk Valley National Park,kova,67.35631336,-159.2002293,National Park
0DEA542F-01B7-4631-8AAD-124161D7B7E6,https://www.nps.gov/kowa/index.htm,Korean War Veterans Memorial,kowa,38.88784226,-77.04773857,
D50B95B0-11C7-4F0A-8B3A-9BAC66E8F1A7,https://www.nps.gov/lyba/index.htm,LBJ Memorial Grove on the Potomac,lyba,38.87858036,-77.05145832,
5F76F85B-23F4-4616-AA0B-A26E8DE76593,https://www.nps.gov/lacl/index.htm,Lake Clark National Park & Preserve,lacl,60.57405857,-153.55535,National Park & Preserve
7B43EA5B-298C-4BAB-B22D-860B852B40A5,https://www.nps.gov/lake/index.htm,Lake Mead National Recreation Area,lake,35.96622528,-114.3469067,National Recreation Area
AC3B46AA-B4C2-4555-A82A-D4CF790DF81D,https://www.nps.gov/lamr/index.htm,Lake Meredith National Recreation Area,lamr,35.61926203,-101.6820066,National Recreation Area
B548FF88-8155-4E56-8E77-FB140D06E1EC,https://www.nps.gov/laro/index.htm,Lake Roosevelt National Recreation Area,laro,48.17148735,-118.3513713,National Recreation Area
9AA4A53C-0331-43CC-99F5-379BC929FFB2,https://www.nps.gov/lavo/index.htm,Lassen Volcanic National Park,lavo,40.49354575,-121.4075993,National Park
10AEFADA-AFA0-4998-A9E5-3F504F351AAB,https://www.nps.gov/labe/index.htm,Lava Beds National Monument,labe,41.75915823,-121.5172189,National Monument
5D443C5F-19A0-4A06-9CE4-30534A3DD81A,https://www.nps.gov/lecl/index.htm,Lewis & Clark National Historic Trail,lecl,41.2646141052,-95.9245147705,National Historic Trail
2666104A-6685-4F93-9412-8091007BEF6C,https://www.nps.gov/lewi/index.htm,Lewis and Clark National Historical Park,lewi,46.21178735,-123.9638583,National Historical Park
E9A0608F-46D6-4072-939F-C81E27AAB236,https://www.nps.gov/libo/index.htm,Lincoln Boyhood National Memorial,libo,38.11817004,-86.99656861,National Memorial
FF52F034-53E3-4F36-AA31-4BEBCC5F007A,https://www.nps.gov/liho/index.htm,Lincoln Home National Historic Site,liho,39.79715642,-89.64513397,National Historic Site
1EAEF5FA-8CD4-40D7-8B09-07F20E3E5AA5,https://www.nps.gov/linc/index.htm,Lincoln Memorial,linc,38.88927229,-77.05017778,
415AA3E1-CE8A-4A24-BD69-451C87107AA4,https://www.nps.gov/libi/index.htm,Little Bighorn Battlefield National Monument,libi,45.55633048,-107.4183614,National Monument
C03CF86E-BFB5-470E-AFF3-C1798A61FFE5,https://www.nps.gov/liri/index.htm,Little River Canyon National Preserve,liri,34.41461863,-85.61734327,National Preserve
5C51E54A-BCDA-4186-96C3-1B896C3CDFCB,https://www.nps.gov/chsc/index.htm,Little Rock Central High School National Historic Site,chsc,34.7369465,-92.29987899,National Historic Site
CE9470A1-A8D7-49DE-A555-1A32FBBAB0FF,https://www.nps.gov/long/index.htm,Longfellow House Washington's Headquarters National Historic Site,long,42.37698854,-71.12636956,National Historic Site
FA6450A4-D2F1-4B35-9817-EA01918597A6,https://www.nps.gov/lowe/index.htm,Lowell National Historical Park,lowe,42.6455371,-71.31588673,National Historical Park
64FF65B7-0847-4495-9464-667CAFBF4D16,https://www.nps.gov/lode/index.htm,Lower Delaware National Wild and Scenic River,lode,40.4000389,-74.983737,National Wild and Scenic River
3725FD28-4693-481E-888C-855484E73800,https://www.nps.gov/loea/index.htm,Lower East Side Tenement Museum National Historic Site,loea,40.7187683,-73.99001245,National Historic Site
