tags,location,isReservationRequired,arePetsPermitted,activities,amenities,doFeesApply,season,duration,parkCode,designation,fullName,states
"['Acadia National Park', 'birdwatching', 'birding', 'cadillac mountain', 'East Side', 'park loop road', 'mount desert island']",Cadillac Mountain,true,true,"[{'id': '5A2C91D1-50EC-4B24-8BED-A2E11A1892DF', 'name': 'Birdwatching'}]",[],false,"['Spring', 'Summer', 'Fall']",,acad,National Park,Acadia National Park,ME
"['birds', 'research', 'science legacy', 'schoodic institute', 'birding', 'citizen science', 'history', 'hiking']",,false,true,"[{'id': '5A2C91D1-50EC-4B24-8BED-A2E11A1892DF', 'name': 'Birdwatching'}]",[],false,"['Spring', 'Summer', 'Fall']",,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'park loop road', 'birding', 'birdwatching', 'East Side', 'mount desert island']",Otter Point Parking Area,false,true,"[{'id': '5A2C91D1-50EC-4B24-8BED-A2E11A1892DF', 'name': 'Birdwatching'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'hiking', 'Sand Beach', 'ladders', 'reservations required', 'rungs', 'summit', 'park loop road', 'mount desert island', 'East Side']",The Beehive,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",1-3 Hours,acad,National Park,Acadia National Park,ME
"['stargazing', 'night skies', 'Acadia National Park', 'Photography', 'astronomy', 'seawall', 'west side', 'mount desert island']",Seawall Picnic Area,false,true,"[{'id': 'D37A0003-8317-4F04-8FB0-4CF0A272E195', 'name': 'Stargazing'}]",[],false,"['Spring', 'Summer', 'Fall']",,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'tidepooling', 'tidepools', 'mount desert island', 'west side', 'seawall', 'marine wildlife', 'coastal']",Ship Harbor Trail,false,true,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Spring', 'Summer', 'Fall']",,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'bar island', 'East Side', 'hiking', 'coastal', 'low tide', 'island explorer', 'mount desert island']",Bar Island,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",45-90 Minutes,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'thompson island', 'birding', 'birdwatching', 'shorebirds']",Thompson Island,false,true,"[{'id': '5A2C91D1-50EC-4B24-8BED-A2E11A1892DF', 'name': 'Birdwatching'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",,acad,National Park,Acadia National Park,ME
"['reservations required', 'Sand Beach', 'sunrise', 'Acadia National Park', 'coastal', 'hiking', 'park loop road', 'mount desert island', 'out and back', 'island explorer']",Ocean Path Trail,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",2-4 Hours,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'cadillac mountain', 'park loop road', 'mount desert island', 'hiking', 'summit', 'full day', 'island explorer', 'out and back']",Cadillac South Ridge Trail,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",2-4 Hours,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'wonderland trail', 'hiking', 'coastal', 'west side', 'less than half a day', 'seawall', 'out and back']",Wonderland Trail,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",30-60 Minutes,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'Schoodic Peninsula', 'Schoodic', 'hiking', 'forest', 'coastal']",Schoodic Peninsula,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'hiking', 'summit', 'mount desert island', 'East Side', 'park loop road', 'Jordan Pond', 'forest', 'island explorer', 'half day']",Jordan Pond,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Spring', 'Fall']",3-4 Hours,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'birding', 'birdwatching', 'park loop road', 'East Side', 'carriage roads']",Carriage Roads (throughout Acadia National Park),false,true,"[{'id': '5A2C91D1-50EC-4B24-8BED-A2E11A1892DF', 'name': 'Birdwatching'}]",[],false,"['Spring', 'Summer', 'Fall']",,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'birding', 'birdwatching', 'Sieur de Monts', 'East Side', 'park loop road', 'mount desert island']",Sieur de Monts,false,true,"[{'id': '5A2C91D1-50EC-4B24-8BED-A2E11A1892DF', 'name': 'Birdwatching'}]",[],false,"['Spring', 'Summer', 'Fall']",,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'forest', 'boardwalk', 'East Side', 'Sieur de Monts', 'park loop road', 'less than half day', 'hiking', 'loops', 'island explorer', 'memorial paths', 'memorial trails']",Sieur de Monts Nature Center,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",30-60 Minutes,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'East Side', 'mount desert island', 'champlain mountain', 'hiking', 'summit', 'out and back', 'historic trails', 'memorial paths']",Beachcroft Path,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",1-2 Hours,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'hiking', 'cadillac mountain', 'out and back', 'mount desert island', 'park loop road', 'East Side', 'summit', 'sunrise']",Cadillac North Ridge Trail,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",2-4 Hours,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'hiking', 'mount desert island', 'East Side', 'park loop road', 'cadillac mountain', 'Dorr Mountain', 'out and back', 'summit', 'forest', 'less than half day', 'island explorer', 'historic trails']",Gorge Path Trailhead,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",2-3 Hours,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'hiking', 'mount desert island', 'west side', 'beech mountain', 'loops', 'forest', 'summit', 'fire tower', 'sunset']",Beech Mountain,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",1-2 Hours,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'west side', 'mount desert island', 'hiking', 'flying mountain', 'less than half day', 'summit', 'loops', 'mountains']",Flying Mountain Trailhead,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",1-2 Hours,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'hiking', 'west side', 'mount desert island', 'summit', 'forest', 'loops', 'half day', 'island explorer', 'mountains']",Acadia Mountain Trailhead,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",2-4 Hours,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'hiking', 'west side', 'mount desert island', 'beech mountain', 'mountains', 'fire tower', 'loops', 'summit', 'forest']",Beech Mountain,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",1-2 Hours,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'East Side', 'mount desert island', 'summit', 'forest', 'loops', 'hiking', 'half day']",Giant Slide Trailhead,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",2-4 Hours,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'hiking', 'East Side', 'mount desert island', 'summit', 'bald peak', 'parkman mountain', 'less than half day', 'island explorer', 'forest', 'loops']",Bald Peak and Parkman Mountain,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",1-2 Hours,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'East Side', 'mount desert island', 'hiking', 'norumbega mountain', 'summit', 'lakes and ponds', 'forest', 'less than half day', 'loops']",Norumbega Mountain,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",2-3 Hours,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'hiking', 'half day', 'loops', 'mount desert island', 'forest', 'ponds', 'East Side', 'hadlock ponds']",Hadlock Ponds,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",2-4 Hours,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'hiking', 'mount desert island', 'west side', 'mountains', 'Civilian Conservation Corps', 'loops', 'summit']","Long Pond, Mansell Mountain",false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",1-2 Hours,acad,National Park,Acadia National Park,ME
