activity_id,activity_name,designation,fullName,name,parkCode,states,url
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Great Basin National Park,Great Basin,grba,NV,https://www.nps.gov/grba/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Grand Canyon National Park,Grand Canyon,grca,AZ,https://www.nps.gov/grca/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Great Smoky Mountains National Park,Great Smoky Mountains,grsm,"NC,TN",https://www.nps.gov/grsm/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Grand Teton National Park,Grand Teton,grte,WY,https://www.nps.gov/grte/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Guadalupe Mountains National Park,Guadalupe Mountains,gumo,TX,https://www.nps.gov/gumo/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Hot Springs National Park,Hot Springs,hosp,AR,https://www.nps.gov/hosp/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Indiana Dunes National Park,Indiana Dunes,indu,IN,https://www.nps.gov/indu/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Joshua Tree National Park,Joshua Tree,jotr,CA,https://www.nps.gov/jotr/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Lassen Volcanic National Park,Lassen Volcanic,lavo,CA,https://www.nps.gov/lavo/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Mesa Verde National Park,Mesa Verde,meve,CO,https://www.nps.gov/meve/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Mount Rainier National Park,Mount Rainier,mora,WA,https://www.nps.gov/mora/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,North Cascades National Park,North Cascades,noca,WA,https://www.nps.gov/noca/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Petrified Forest National Park,Petrified Forest,pefo,AZ,https://www.nps.gov/pefo/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Rocky Mountain National Park,Rocky Mountain,romo,CO,https://www.nps.gov/romo/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Saguaro National Park,Saguaro,sagu,AZ,https://www.nps.gov/sagu/index.htm
